,number_draft,name,number_of_games,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,1,Ben Simmons,214,34.4,16.4,8.3,8.0
1,2,Brandon Ingram,246,32.2,16.2,5.1,3.2
2,3,Jaylen Brown,272,26.1,12.9,4.4,1.4
3,4,Dragan Bender,187,20.1,5.4,3.9,1.3
4,5,Kris Dunn,227,24.3,8.3,3.3,4.2
5,6,Buddy Hield,308,27.8,15.9,4.2,2.2
6,7,Jamal Murray,293,29.3,15.6,3.6,3.7
7,8,Marquese Chriss,256,19.4,8.0,4.9,1.1
8,9,Jakob Pöltl,271,16.2,5.4,4.7,1.0
9,10,Thon Maker,255,13.9,4.7,2.8,0.6
10,11,Domantas Sabonis,291,25.6,12.1,8.0,2.6
11,12,Taurean Waller-Prince,260,26.4,11.6,4.3,1.9
12,13,Georgios Papagiannis,39,12.2,4.1,3.2,0.7
13,14,Denzel Valentine,170,20.9,7.8,3.6,2.1
14,15,Juan Hernangómez,205,16.1,5.3,3.4,0.7
15,16,Guerschon Yabusele,74,6.6,2.3,1.4,0.4
16,17,Wade Baldwin,56,10.3,3.1,1.2,1.4
17,18,Henry Ellenson,81,9.2,4.0,2.4,0.5
18,19,Malik Beasley,220,17.4,8.2,2.0,1.0
19,20,Caris LeVert,207,25.6,12.4,3.7,3.5
20,21,DeAndre' Bembry,189,19.4,6.2,3.4,1.9
21,22,Malachi Richardson,70,8.9,2.8,1.0,0.3
22,23,Ante Žižić,113,13.4,6.0,3.9,0.6
23,24,Timothé Luwawu-Cabarrot,210,15.9,5.8,1.9,0.9
24,25,Brice Johnson,21,5.1,2.2,1.6,0.1
25,26,Furkan Korkmaz,126,17.1,7.3,2.1,1.0
26,27,Pascal Siakam,269,25.9,12.7,5.6,2.3
27,28,Skal Labissière,148,17.5,7.2,4.5,1.0
28,29,Dejounte Murray,177,19.8,7.9,4.7,2.9
29,30,Damian Jones,104,14.1,4.6,3.1,0.6
30,31,Deyonta Davis,107,12.1,4.2,3.2,0.4
31,32,Ivica Zubac,204,15.8,7.3,5.4,0.9
32,33,Cheick Diallo,177,12.1,5.3,4.2,0.4
33,34,Tyler Ulis,133,20.9,7.5,1.7,4.0
34,35,Rade Zagorac,NaN,NaN,NaN,NaN,NaN
35,36,Malcolm Brogdon,235,28.6,13.5,3.8,4.3
36,37,Chinanu Onuaku,6,12.3,3.0,2.3,0.7
37,38,Patrick McCaw,194,17.2,3.9,1.6,1.4
38,39,David Michineau,NaN,NaN,NaN,NaN,NaN
39,40,Diamond Stone,7,3.4,1.4,0.9,0.0
40,41,Stephen Zimmerman,19,5.7,1.2,1.8,0.2
41,42,Isaiah Whitehead,89,20.5,7.2,2.4,2.4
42,43,Zhou Qi,19,6.6,1.3,1.2,0.1
43,44,Isaïa Cordinier,NaN,NaN,NaN,NaN,NaN
44,45,Demetrius Jackson,26,5.2,1.8,0.7,0.7
45,46,A.J. Hammons,22,7.4,2.2,1.6,0.2
46,47,Jake Layman,164,13.7,5.3,1.9,0.5
47,48,Paul Zipser,98,17.0,4.7,2.6,0.8
48,49,Michael Gbinije,9,3.6,0.4,0.3,0.2
49,50,Georges Niang,149,9.5,4.0,1.5,0.5
50,51,Ben Bentil,3,3.3,0.0,0.7,0.0
51,52,Joel Bolomboy,18,5.1,1.7,1.5,0.1
52,53,Petr Cornelie,NaN,NaN,NaN,NaN,NaN
53,54,Kay Felder,58,9.1,3.8,1.0,1.3
54,55,Marcus Paige,5,5.6,2.4,0.8,0.6
55,56,Daniel Hamilton,25,9.3,2.8,2.1,1.2
56,57,Wang Zhelin,NaN,NaN,NaN,NaN,NaN
57,58,Abdel Nader,157,12.6,4.3,1.8,0.5
58,59,Isaiah Cousins,NaN,NaN,NaN,NaN,NaN
59,60,Tyrone Wallace,106,15.5,5.2,2.2,1.2
