,year,number_draft,name,number_of_games,total_minutes_played,total_points,total_rebounds,total_assists,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game
0,2019,1,Zion Williamson,19,565,448,129,41,29.7,23.6,6.8,2.2
1,2019,2,Ja Morant,59,1771,1041,208,409,30.0,17.6,3.5,6.9
2,2019,3,RJ Barrett,56,1704,803,279,143,30.4,14.3,5.0,2.6
3,2019,4,De'Andre Hunter,63,2018,778,286,112,32.0,12.3,4.5,1.8
4,2019,5,Darius Garland,59,1824,728,111,229,30.9,12.3,1.9,3.9
5,2019,6,Jarrett Culver,63,1506,580,212,110,23.9,9.2,3.4,1.7
6,2019,7,Coby White,65,1674,859,230,175,25.8,13.2,3.5,2.7
7,2019,8,Jaxson Hayes,56,951,420,223,51,17.0,7.5,4.0,0.9
8,2019,9,Rui Hachimura,41,1217,548,248,70,29.7,13.4,6.0,1.7
9,2019,10,Cam Reddish,58,1551,610,216,87,26.7,10.5,3.7,1.5
10,2019,11,Cameron Johnson,49,996,398,140,52,20.3,8.1,2.9,1.1
11,2019,12,PJ Washington,58,1759,710,316,123,30.3,12.2,5.4,2.1
12,2019,13,Tyler Herro,47,1280,605,187,91,27.2,12.9,4.0,1.9
13,2019,14,Romeo Langford,27,298,69,32,6,11.0,2.6,1.2,0.2
14,2019,15,Sekou Doumbouya,38,754,243,118,19,19.8,6.4,3.1,0.5
15,2019,16,Chuma Okeke,,,,,,,,,
16,2019,17,Nickeil Alexander-Walker,41,501,211,80,74,12.2,5.1,2.0,1.8
17,2019,18,Goga Bitadze,49,410,152,96,21,8.4,3.1,2.0,0.4
18,2019,19,Luka Šamanić,1,12,0,2,3,12.0,0.0,2.0,3.0
19,2019,20,Matisse Thybulle,57,1110,267,86,70,19.5,4.7,1.5,1.2
20,2019,21,Brandon Clarke,50,1086,602,292,72,21.7,12.0,5.8,1.4
21,2019,22,Grant Williams,62,970,218,165,62,15.6,3.5,2.7,1.0
22,2019,23,Darius Bazley,53,909,238,196,29,17.2,4.5,3.7,0.5
23,2019,24,Ty Jerome,28,315,98,41,43,11.3,3.5,1.5,1.5
24,2019,25,Nassir Little,48,573,172,108,22,11.9,3.6,2.3,0.5
25,2019,26,Dylan Windler,,,,,,,,,
26,2019,27,Mfiondu Kabengele,12,64,42,11,2,5.3,3.5,0.9,0.2
27,2019,28,Jordan Poole,57,1274,503,118,134,22.4,8.8,2.1,2.4
28,2019,29,Keldon Johnson,9,92,41,17,6,10.2,4.6,1.9,0.7
29,2019,30,Kevin Porter,50,1162,498,162,109,23.2,10.0,3.2,2.2
30,2019,31,Nicolas Claxton,15,187,66,44,16,12.5,4.4,2.9,1.1
31,2019,32,KZ Okpala,5,26,7,5,1,5.2,1.4,1.0,0.2
32,2019,33,Carsen Edwards,35,316,106,43,22,9.0,3.0,1.2,0.6
33,2019,34,Bruno Fernando,56,713,240,198,49,12.7,4.3,3.5,0.9
34,2019,35,Marcos Louzada Silva,,,,,,,,,
35,2019,36,Cody Martin,48,903,238,158,95,18.8,5.0,3.3,2.0
36,2019,37,Deividas Sirvydis,,,,,,,,,
37,2019,38,Daniel Gafford,43,609,220,106,21,14.2,5.1,2.5,0.5
38,2019,39,Alen Smailagić,14,139,59,27,13,9.9,4.2,1.9,0.9
39,2019,40,Justin James,34,218,85,30,16,6.4,2.5,0.9,0.5
40,2019,41,Eric Paschall,60,1654,837,275,127,27.6,14.0,4.6,2.1
41,2019,42,Admiral Schofield,27,293,83,34,14,10.9,3.1,1.3,0.5
42,2019,43,Jaylen Nowell,15,151,57,13,19,10.1,3.8,0.9,1.3
43,2019,44,Bol Bol,,,,,,,,,
44,2019,45,Isaiah Roby,3,11,0,2,0,3.7,0.0,0.7,0.0
45,2019,46,Talen Horton-Tucker,2,5,0,0,2,2.5,0.0,0.0,1.0
46,2019,47,Ignas Brazdeikis,9,53,17,5,4,5.9,1.9,0.6,0.4
47,2019,48,Terance Mann,35,271,56,33,38,7.7,1.6,0.9,1.1
48,2019,49,Quinndary Weatherspoon,3,15,0,1,1,5.0,0.0,0.3,0.3
49,2019,50,Jarrell Brantley,5,13,0,5,1,2.6,0.0,1.0,0.2
50,2019,51,Tremont Waters,10,89,33,9,12,8.9,3.3,0.9,1.2
51,2019,52,Jalen McDaniels,16,293,89,65,13,18.3,5.6,4.1,0.8
52,2019,53,Justin Wright-Foreman,1,2,0,0,0,2.0,0.0,0.0,0.0
53,2019,54,Marial Shayok,2,10,3,3,1,5.0,1.5,1.5,0.5
54,2019,55,Kyle Guy,2,4,2,0,0,2.0,1.0,0.0,0.0
55,2019,56,Jaylen Hands,,,,,,,,,
56,2019,57,Jordan Bone,10,53,12,4,8,5.3,1.2,0.4,0.8
57,2019,58,Miye Oni,5,11,0,2,0,2.2,0.0,0.4,0.0
58,2019,59,Dewan Hernandez,4,11,4,7,0,2.8,1.0,1.8,0.0
59,2019,60,Vanja Marinković,,,,,,,,,
